2025-08-31 16:20:01,291 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-20 13:00:00_2022-08-20 16:00:00 has been selected successfully!
2025-08-31 16:20:01,292 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-20 18:00:00_2022-08-21 02:00:00 has been selected successfully!
2025-08-31 16:20:01,293 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-21 09:00:00_2022-08-21 13:00:00 has been selected successfully!
2025-08-31 16:20:01,294 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-21 17:00:00_2022-08-22 02:00:00 has been selected successfully!
2025-08-31 16:20:01,294 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-22 18:00:00_2022-08-22 22:00:00 has been selected successfully!
2025-08-31 16:20:01,570 | data_selector | DEBUG | data_selector.py:24 | filter_name_code() | Data related to پرند_G14  has been selected successfully!
2025-08-31 16:20:01,571 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-22 14:00:00_2021-05-22 18:00:00 has been selected successfully!
2025-08-31 16:20:01,572 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-23 14:00:00_2021-05-23 18:00:00 has been selected successfully!
2025-08-31 16:20:01,573 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-24 14:00:00_2021-05-24 18:00:00 has been selected successfully!
2025-08-31 16:20:01,574 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-25 15:00:00_2021-05-25 18:00:00 has been selected successfully!
2025-08-31 16:20:01,575 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-26 14:00:00_2021-05-26 17:00:00 has been selected successfully!
2025-08-31 16:20:01,576 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-27 14:00:00_2021-05-27 18:00:00 has been selected successfully!
2025-08-31 16:20:01,577 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-28 14:00:00_2021-05-28 17:00:00 has been selected successfully!
2025-08-31 16:20:01,578 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-29 14:00:00_2021-05-29 18:00:00 has been selected successfully!
2025-08-31 16:20:01,578 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-30 14:00:00_2021-05-30 18:00:00 has been selected successfully!
2025-08-31 16:20:01,579 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-05-31 14:00:00_2021-05-31 18:00:00 has been selected successfully!
2025-08-31 16:20:01,580 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-01 09:00:00_2021-06-02 02:00:00 has been selected successfully!
2025-08-31 16:20:01,581 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-02 10:00:00_2021-06-02 22:00:00 has been selected successfully!
2025-08-31 16:20:01,582 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-03 10:00:00_2021-06-04 02:00:00 has been selected successfully!
2025-08-31 16:20:01,583 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-04 12:00:00_2021-06-05 02:00:00 has been selected successfully!
2025-08-31 16:20:01,584 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-05 11:00:00_2021-06-06 01:00:00 has been selected successfully!
2025-08-31 16:20:01,585 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-06 12:00:00_2021-06-07 02:00:00 has been selected successfully!
2025-08-31 16:20:01,586 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-07 09:00:00_2021-06-07 20:00:00 has been selected successfully!
2025-08-31 16:20:01,587 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-07 21:00:00_2021-06-08 02:00:00 has been selected successfully!
2025-08-31 16:20:01,588 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-08 10:00:00_2021-06-09 02:00:00 has been selected successfully!
2025-08-31 16:20:01,588 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-09 10:00:00_2021-06-10 01:00:00 has been selected successfully!
2025-08-31 16:20:01,589 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-10 09:00:00_2021-06-10 20:00:00 has been selected successfully!
2025-08-31 16:20:01,590 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-10 21:00:00_2021-06-11 02:00:00 has been selected successfully!
2025-08-31 16:20:01,591 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2021-06-11 12:00:00_2021-06-12 02:00:00 has been selected successfully!
